elapsed;fitness;solution
40.70s;820;[[5, 3, 7, 8, 11, 9, 6, 4, 2, 1, 75], [10, 12, 14, 16, 15, 19, 18, 17, 13], [20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21], [32, 33, 31, 35, 37, 38, 39, 36, 34], [43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 47], [55, 54, 53, 56, 58, 60, 59, 57], [65, 63, 74, 62, 66, 67], [69, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81], [90, 87, 86, 83, 82, 84, 85, 88, 89, 91], [98, 96, 95, 94, 92, 93, 97, 100, 99]]
40.93s;820;[[5, 3, 7, 8, 11, 9, 6, 4, 2, 1, 75], [10, 12, 14, 16, 15, 19, 18, 17, 13], [20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21], [32, 33, 31, 35, 37, 38, 39, 36, 34], [43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 47], [55, 54, 53, 56, 58, 60, 59, 57], [66, 62, 74, 63, 65, 67], [69, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81], [90, 87, 86, 83, 82, 84, 85, 88, 89, 91], [98, 96, 95, 94, 92, 93, 97, 100, 99]]
41.40s;820;[[5, 3, 7, 8, 11, 9, 6, 4, 2, 1, 75], [10, 12, 14, 16, 15, 19, 18, 17, 13], [20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21], [32, 33, 31, 35, 37, 38, 39, 36, 34], [43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 47], [57, 55, 54, 53, 56, 58, 60, 59], [63, 74, 62, 66, 65, 67], [69, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81], [90, 87, 86, 83, 82, 84, 85, 88, 89, 91], [98, 96, 95, 94, 92, 93, 97, 100, 99]]
41.20s;820;[[5, 3, 7, 8, 11, 9, 6, 4, 2, 1, 75], [10, 12, 14, 16, 15, 19, 18, 17, 13], [20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21], [32, 33, 31, 35, 37, 38, 39, 36, 34], [43, 42, 41, 40, 44, 45, 46, 48, 51, 50, 52, 49, 47], [55, 54, 53, 56, 58, 60, 59, 57], [65, 63, 74, 62, 66, 67], [69, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81], [90, 87, 86, 83, 82, 84, 85, 88, 89, 91], [98, 96, 95, 94, 92, 93, 97, 100, 99]]
41.21s;820;[[5, 3, 7, 8, 11, 9, 6, 4, 2, 1, 75], [10, 12, 14, 16, 15, 19, 18, 17, 13], [20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21], [32, 33, 31, 35, 37, 38, 39, 36, 34], [43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 47], [55, 54, 53, 56, 58, 60, 59, 57], [66, 62, 74, 63, 65, 67], [69, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81], [90, 87, 86, 83, 82, 84, 85, 88, 89, 91], [98, 96, 95, 94, 92, 93, 97, 100, 99]]
40.94s;820;[[5, 3, 7, 8, 11, 9, 6, 4, 2, 1, 75], [10, 12, 14, 16, 15, 19, 18, 17, 13], [20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21], [32, 33, 31, 35, 37, 38, 39, 36, 34], [43, 42, 41, 40, 44, 45, 46, 48, 51, 50, 52, 49, 47], [55, 54, 53, 56, 58, 60, 59, 57], [66, 62, 74, 63, 65, 67], [69, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81], [90, 87, 86, 83, 82, 84, 85, 88, 89, 91], [98, 96, 95, 94, 92, 93, 97, 100, 99]]
41.37s;820;[[3, 99, 100, 97, 93, 92, 94, 95, 96, 98], [5, 7, 8, 11, 9, 6, 4, 2, 1, 75], [10, 12, 14, 16, 15, 19, 18, 17, 13], [20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21], [32, 33, 31, 35, 37, 38, 39, 36, 34], [43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 47], [55, 57, 54, 53, 56, 58, 60, 59], [63, 74, 62, 66, 65, 67], [69, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81], [90, 87, 86, 83, 82, 84, 85, 88, 89, 91]]
41.43s;820;[[5, 3, 7, 8, 11, 9, 6, 4, 2, 1, 75], [10, 12, 14, 16, 15, 19, 18, 17, 13], [20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21], [32, 33, 31, 35, 37, 38, 39, 36, 34], [43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 47], [55, 54, 53, 56, 58, 60, 59, 57], [66, 62, 74, 63, 65, 67], [69, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81], [90, 87, 86, 83, 82, 84, 85, 88, 89, 91], [98, 96, 95, 94, 92, 93, 97, 100, 99]]
41.96s;820;[[3, 99, 100, 97, 93, 92, 94, 95, 96, 98], [5, 7, 8, 11, 9, 6, 4, 2, 1, 75], [10, 12, 14, 16, 15, 19, 18, 17, 13], [20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21], [32, 33, 31, 35, 37, 38, 39, 36, 34], [43, 42, 41, 40, 44, 45, 46, 48, 51, 50, 52, 49, 47], [55, 54, 53, 56, 58, 60, 59, 57], [63, 74, 62, 66, 65, 67], [69, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81], [90, 87, 86, 83, 82, 84, 85, 88, 89, 91]]
41.44s;820;[[5, 3, 7, 8, 11, 9, 6, 4, 2, 1, 75], [10, 12, 14, 16, 15, 19, 18, 17, 13], [20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21], [32, 33, 31, 35, 37, 38, 39, 36, 34], [43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 47], [55, 57, 54, 53, 56, 58, 60, 59], [66, 62, 74, 63, 65, 67], [69, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81], [90, 87, 86, 83, 82, 84, 85, 88, 89, 91], [98, 96, 95, 94, 92, 93, 97, 100, 99]]
41.40s;820;[[5, 3, 7, 8, 11, 9, 6, 4, 2, 1, 75], [10, 12, 14, 16, 15, 19, 18, 17, 13], [20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21], [32, 33, 31, 35, 37, 38, 39, 36, 34], [43, 42, 41, 40, 44, 45, 46, 48, 51, 50, 52, 49, 47], [57, 55, 54, 53, 56, 58, 60, 59], [63, 74, 62, 66, 65, 67], [69, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81], [90, 87, 86, 83, 82, 84, 85, 88, 89, 91], [98, 96, 95, 94, 92, 93, 97, 100, 99]]
41.35s;820;[[5, 3, 7, 8, 11, 9, 6, 4, 2, 1, 75], [10, 12, 14, 16, 15, 19, 18, 17, 13], [20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21], [32, 33, 31, 35, 37, 38, 39, 36, 34], [43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 47], [55, 54, 53, 56, 58, 60, 59, 57], [63, 74, 62, 66, 65, 67], [69, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81], [90, 87, 86, 83, 82, 84, 85, 88, 89, 91], [98, 96, 95, 94, 92, 93, 97, 100, 99]]
41.26s;820;[[5, 3, 7, 8, 11, 9, 6, 4, 2, 1, 75], [10, 12, 14, 16, 15, 19, 18, 17, 13], [20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21], [32, 33, 31, 35, 37, 38, 39, 36, 34], [43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 47], [55, 57, 54, 53, 56, 58, 60, 59], [66, 62, 74, 63, 65, 67], [69, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81], [90, 87, 86, 83, 82, 84, 85, 88, 89, 91], [98, 96, 95, 94, 92, 93, 97, 100, 99]]
41.64s;820;[[5, 3, 7, 8, 11, 9, 6, 4, 2, 1, 75], [10, 12, 14, 16, 15, 19, 18, 17, 13], [20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21], [32, 33, 31, 35, 37, 38, 39, 36, 34], [43, 42, 41, 40, 44, 45, 46, 48, 51, 50, 52, 49, 47], [55, 54, 53, 56, 58, 60, 59, 57], [63, 74, 62, 66, 65, 67], [69, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81], [90, 87, 86, 83, 82, 84, 85, 88, 89, 91], [98, 96, 95, 94, 92, 93, 97, 100, 99]]
41.39s;820;[[5, 3, 7, 8, 11, 9, 6, 4, 2, 1, 75], [10, 12, 14, 16, 15, 19, 18, 17, 13], [20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21], [32, 33, 31, 35, 37, 38, 39, 36, 34], [43, 42, 41, 40, 44, 46, 45, 48, 51, 50, 52, 49, 47], [55, 54, 53, 56, 58, 60, 59, 57], [66, 62, 74, 63, 65, 67], [69, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81], [90, 87, 86, 83, 82, 84, 85, 88, 89, 91], [98, 96, 95, 94, 92, 93, 97, 100, 99]]
42.13s;820;[[5, 3, 7, 8, 11, 9, 6, 4, 2, 1, 75], [10, 12, 14, 16, 15, 19, 18, 17, 13], [20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21], [32, 33, 31, 35, 37, 38, 39, 36, 34], [43, 42, 41, 40, 44, 45, 46, 48, 51, 50, 52, 49, 47], [55, 54, 53, 56, 58, 60, 59, 57], [66, 62, 74, 63, 65, 67], [69, 68, 64, 61, 72, 80, 79, 77, 73, 70, 71, 76, 78, 81], [90, 87, 86, 83, 82, 84, 85, 88, 89, 91], [98, 96, 95, 94, 92, 93, 97, 100, 99]]
